workerid,assignmentid
0,3UOUJI6MTEXLRVD5AO6FVPWV6X0UXR
1,3Z4AIRP3C7W5IYM780WVKNRYV031XZ
2,3G2UL9A02EX6A5HDWT4ELK5R1I4768
3,3Y54SXRO1M4EAE4L5E5I6MBPT1CUT8
4,3X87C8JFV7UL3LKPZ5GNMGIEOXSSQC
5,3MAOD8E57RT8W5TWDNUTHU41Y1MNX7
6,3U4J9857OFUCGHY8SKLMW0RJFJF7BT
7,3AWETUDC93B5NZIKHP5M97OVK24IZX
8,30BXRYBRP5G1X92V0K3UARTY3OFHW9
9,3CTOC39K389IY0WKGCY3UOAWNOO7JE
10,3VZLGYJEYMT2DU7FGB5NCHBA8FFZXL
11,3TXWC2NHN09FBM33I3510LSPEXP9S8
12,3A4TN5196L1SJBWQJT3TYXMVB7BCH7
13,3HL8HNGX46K67HYHCJ52TM9AP7VF9V
14,32VNZTT0A8N2D1XEMJ95T3CD63S4RJ
15,3O6CYIULEEK62V8F0JATT6IOXVUWU0
16,3SNVL38CI5BJL1XYPE6QBP2N3OFCKB
17,3FE7TXL1LJ6SYM3R5Q1HVY5AQ3TQ27
18,3ON104KXQLF7LXE0LDJBG2KUYI74WM
19,3E47SOBEYRFSF67APBLEY9NABKQCI0
20,35BLDD71I7GA952KGW45OWEPS47ZVI
21,3J4Q2Z4UTZMEA21YJAQOJ5LZUAOWQV
22,3DQQ64TANH4TAQ0JJXBZJ0VPPE2PWX
23,3PB5A5BD0WP87Y6J86D0XBIGVW77GA
24,38F5OAUN5OVM7U1USCVIIBUHAWK7H9
25,3LBXNTKX0SEN73P2CDBOZT9HTCR9XG
26,3TU5ZICBREK3K15GL7AI5PIDC3LQ8A
27,3B3WTRP3DCLM6NM5OOQV93FLG3Q29Y
28,32RIADZISTNEEGXR189AJDH9S5B4S7
29,33LK57MYLUOUHDLGM1Z0D9UIT0DZSD
30,3PH3VY7DJMGNOU2P6691AYX3ZD9ZWS
31,3TK8OJTYM24GV10ETN63XYCBI50PVN
32,3OVR4I9USQ2210IE94K5OD28AHQ4QI
33,3EICBYG645FOAHRG7T6EAA2AOZFCJC
34,3FPRZHYEPZQ9OCVRVP9WKV9AD98V3H
35,31IBVUNM9TI44OBKFKAYL4Y7G0AVFP
36,3LJ7UR74RIWHY35MTCSOKJ735634NV
37,3O6CYIULEEK62V8F0JATT6IOXVUUWY
38,3ZQIG0FLQFZ6FAXF59KYPSK7B23WVP
39,3LOZAJ85YEWC7J43R4W9P613N6GX2B
40,3NXNZ5RS1BGTSOJBU07Q5UWTRJC79J
41,3PH3VY7DJMGNOU2P6691AYX3ZD9WZP
42,3QBD8R3Z222ZGO5YURS1Z878VG84OA
43,3B4YI393VAFXG1Z2R95SHGXF6LDSS1
44,32AT8R96GMSDVER6GE0SWHF3RIYSUH
45,39GAF6DQWSJDE9HC8LVDW2UDFPV1VW
46,37W3JXSD67RNJ4SKAK7IWRO1TJ5WYY
47,37Z929RLGARYV1CHG9AIRLT184RSTQ
48,3BGYGHDBBY3B63163FBGZG77AXG226
49,3PEIJLRY6UCYJZ2A5OLGDDHSRDBWXS
50,3Z3ZLGNNSJDHJ4ZA9QFME8A2WHTQ3I
51,3Z7VU45IPZ0UNTMM9IKGH8793011ZW
52,3R5F3LQFV33FJLTNFKIRT4KHWBAZOG
53,3IHR8NYAM8KH1OHZ9R5GO8CY5L44PR
54,31T4R4OBOTZVQMQE6KHH7KX1X4F7C0
55,3QAPZX2QN5W4ATYSOS72GSESDZW20M
56,30IQTZXKALP5B91PCHSV6I8OQ8WX0R
57,3X0H8UUIT27QNIGBBEFTE500CY9WSK
58,3FTF2T8WLS18I3KC28F2XAVAKAL9WN
59,340UGXU9DZKTN68AA95X74ZAQMSUVO
60,3YW4XOSQKR4D1USC3VL80GSU1IM1U7
61,3L0KT67Y8FZUCNBBQFXHZ2LGN69SYF
62,3U84XHCDIDWBFSJ5W03IF6ECFKPZ4L
63,34Z02EIMITWYUSS577RYHFNIDC8T04
64,3OVR4I9USQ2210IE94K5OD28AHPQ43
65,3VNXK88KKD1V3EK7CYA6B8CWD1J9VD
66,3U8YCDAGXQZL2C0DQ3X3CACVT59Q0N
67,3UXUOQ9OKFG7X7TGM6LQ1P7DX1U7AY
68,3K3R2QNK8CMVQZV77801FMADZUA9UO
69,3BWI6RSP7HSANKAS2BNCX8X4IGS7ET
70,3TMSXRD2X7JQTYHHYV09I4DRMYX1W6
71,3TUI152ZZC6L91LVMM13QFV5YXFQ1Q
72,3PW9OPU9PR34HIJAKBB2UXX2IR221P
73,3AUQQEL7U6CD7KWUC2RDIXB3AXOV0M
74,33PPUNGG39OIGYL37CZVNZPM7YUZRP
75,3BEFOD78W7CBGLKMHBDO74I30GT4MV
76,3J88R45B2HH8ZQ59T27LLJ9WYG8PXQ
77,3N4BPTXIO9BF7VEYB5RQ5VOTAOAKUH
78,3R8YZBNQ9I1ZKN0XB2ICRPMI1JFQ7N
79,3IAS3U3I0GZ5UG12M84R09AB43M2B1
80,3C6FJU71TRCAR03FFKSHE33483UUYX
81,3X0H8UUIT27QNIGBBEFTE500CY9SWG
82,3JBT3HLQF9LX4L5OUKV6I4P76G6ZPX
83,31QTRG6Q2UWXZVVJYYTN4XG50M2PYW
84,3GNA64GUZFNKXJMEN93FT58MADKQ58
85,3JBT3HLQF9LX4L5OUKV6I4P76G6PZN
86,3CP1TO84PUK350KTLYDEXNAJU77257
87,3N2BF7Y2VRD5SX8HWIX71TR75LMHM1
88,33LK57MYLUOUHDLGM1Z0D9UIT0DSZ6
89,31QNSG6A5SCTEJ01P81C5Y1I7DU78U
